Time: 2020-08-30 09:51:13.576590, Messages: 0, Members Joined: 0 
Time: 2020-08-30 09:51:18.570151, Messages: 10, Members Joined: 0 
Time: 2020-08-30 09:51:23.575502, Messages: 0, Members Joined: 0 
Time: 2020-08-30 09:51:28.577023, Messages: 6, Members Joined: 0 
Time: 2020-08-30 09:51:33.587044, Messages: 0, Members Joined: 0 
Time: 2020-08-30 09:51:38.593978, Messages: 0, Members Joined: 0 
Time: 2020-08-30 09:51:43.600209, Messages: 0, Members Joined: 0 
Time: 2020-08-30 09:51:48.605842, Messages: 0, Members Joined: 0 
Time: 2020-08-30 09:51:53.622198, Messages: 0, Members Joined: 0 
Time: 2020-08-30 09:51:58.629124, Messages: 0, Members Joined: 0 
Time: 2020-08-30 09:52:03.635243, Messages: 0, Members Joined: 0 
Time: 2020-08-30 09:52:08.641429, Messages: 0, Members Joined: 0 
Time: 2020-08-30 09:52:13.657370, Messages: 0, Members Joined: 0 
Time: 2020-08-30 09:52:18.663455, Messages: 0, Members Joined: 0 
Time: 2020-08-30 09:52:23.676661, Messages: 0, Members Joined: 0 
Time: 2020-08-30 09:52:28.680878, Messages: 0, Members Joined: 0 
Time: 2020-08-30 09:52:33.687811, Messages: 0, Members Joined: 0 
Time: 2020-08-30 09:52:38.699939, Messages: 0, Members Joined: 0 
Time: 2020-08-30 09:52:43.707625, Messages: 0, Members Joined: 0 
Time: 2020-08-30 09:52:48.715644, Messages: 0, Members Joined: 0 
Time: 2020-08-30 09:52:53.732371, Messages: 0, Members Joined: 0 
Time: 2020-08-30 09:52:58.744390, Messages: 0, Members Joined: 0 
Time: 2020-08-30 09:53:03.748467, Messages: 0, Members Joined: 0 
Time: 2020-08-30 09:53:08.754595, Messages: 0, Members Joined: 0 
Time: 2020-08-30 09:53:13.761234, Messages: 0, Members Joined: 0 
Time: 2020-08-30 09:53:18.767605, Messages: 0, Members Joined: 0 
Time: 2020-08-30 09:53:23.773641, Messages: 0, Members Joined: 0 
Time: 2020-08-30 09:53:28.777983, Messages: 0, Members Joined: 0 
Time: 2020-08-30 09:53:33.784014, Messages: 0, Members Joined: 0 
Time: 2020-08-30 09:53:38.790235, Messages: 0, Members Joined: 0 
Time: 2020-08-30 09:53:43.795580, Messages: 0, Members Joined: 0 
Time: 2020-08-30 09:53:48.801758, Messages: 0, Members Joined: 0 
Time: 2020-08-30 09:53:53.807070, Messages: 0, Members Joined: 0 
Time: 2020-08-30 09:53:58.810993, Messages: 0, Members Joined: 0 
Time: 2020-08-30 09:54:03.816674, Messages: 0, Members Joined: 0 
Time: 2020-08-30 09:54:08.820574, Messages: 0, Members Joined: 0 
Time: 2020-08-30 09:54:13.827100, Messages: 0, Members Joined: 0 
Time: 2020-08-30 09:54:18.832038, Messages: 0, Members Joined: 0 
Time: 2020-08-30 09:54:23.836200, Messages: 0, Members Joined: 0 
Time: 2020-08-30 09:54:28.849338, Messages: 0, Members Joined: 0 
Time: 2020-08-30 09:54:33.854194, Messages: 0, Members Joined: 0 
Time: 2020-08-30 09:54:38.854081, Messages: 0, Members Joined: 0 
Time: 2020-08-30 09:54:43.859106, Messages: 0, Members Joined: 0 
Time: 2020-08-30 09:54:48.866393, Messages: 0, Members Joined: 0 
Time: 2020-08-30 09:54:53.870799, Messages: 0, Members Joined: 0 
Time: 2020-08-30 09:54:58.877524, Messages: 0, Members Joined: 0 
Time: 2020-08-30 09:55:03.893404, Messages: 0, Members Joined: 0 
Time: 2020-08-30 09:55:08.907481, Messages: 0, Members Joined: 0 
Time: 2020-08-30 09:55:13.916020, Messages: 0, Members Joined: 0 
